GeneID	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
74125	1434949_at	0.644875588554478	6.08880451977779	4.73475982645841	0.000272892509443678	0.00147433218356724	-0.633369904868284
74125	1434950_a_at	0.301631976831388	8.45149913838597	3.70409645706788	0.00215312226843703	0.00914732172464004	-2.73366385296056
74125	1434951_at	0.374440438700258	6.30427844742023	3.62224723895318	0.0025443033783372	0.0105731711661648	-2.90136348990843
18117	1434952_at	-0.262907781337843	5.66740159739178	-2.357006666746	0.0325819626226873	0.0930403378653805	-5.39538510672003
56217	1434954_at	-0.508039885425021	6.68454619108934	-4.40612939766486	0.000522117727786351	0.00261151509824689	-1.2973450056484
57810	1434957_at	-0.658372581464178	6.46749569876399	-6.98229113683405	4.65263425351174e-06	4.13149158235151e-05	3.5847759006979
50720	1434958_at	1.39394688242086	5.77835917812129	10.3137754538497	3.64855400003403e-08	6.4632142166353e-07	8.65686150177403
NA	1434962_x_at	-0.353043530445796	4.52022516368186	-2.3507945702123	0.0329768872398047	0.094007369407903	-5.4067313666949
109115	1434963_at	0.335767822798608	6.41005257595938	4.13988944492318	0.000889886358335315	0.00419644130565464	-1.84034872062774
231769	1434966_at	-0.783906793213761	6.28840961391782	-7.12922560864205	3.65134567174244e-06	3.37250340244226e-05	3.83759825812553
67263	1434967_at	0.693371067368423	7.11616392497911	8.15321798189847	7.29358153548462e-07	8.3872468340615e-06	5.52064987430845
74117	1434968_a_at	-0.435389731910695	10.7569410588923	-5.65414370764573	4.75436917088313e-05	0.000315519134749853	1.16833933766917
319586	1434969_at	0.524991865350469	5.87264662190199	6.69751813900822	7.50374667496393e-06	6.26251811227883e-05	3.08652437188692
27395	1434970_a_at	0.666378459586874	10.5995716789426	6.92482848772183	5.11918552385358e-06	4.49358478612924e-05	3.48511541770681
27395	1434971_x_at	0.778296369294057	10.7023810683406	8.15110444994665	7.31687259149205e-07	8.40974186414075e-06	5.51731468690376
110809	1434972_x_at	0.308598849267646	11.2446515588168	3.31757365041579	0.00474051512974712	0.0181480326684259	-3.52285387290985
66776	1434975_x_at	-0.441407477421097	9.14883296541121	-5.42496116320798	7.27550224254135e-05	0.000459762402467224	0.728175884555167
13685	1434976_x_at	0.232506346591986	11.0780401860693	3.02950507719877	0.00852568127619877	0.0300662093391071	-4.10281763023776
216166	1434984_at	0.497667558182231	6.47226862710878	5.15543994338783	0.00012105808145506	0.000719725880794183	0.202565897014029
53421	1434986_a_at	-0.484892198847027	9.69065952409809	-6.01726508830727	2.45846107977433e-05	0.000177208012080713	1.85220505156683
11669	1434987_at	0.724694743710983	6.5593854887	2.40402678937741	0.0297343953067866	0.0863745306409496	-5.3090685513885
11669	1434988_x_at	0.878259945594774	6.57954387667154	5.20392902403711	0.000110385259747729	0.000663355842755804	0.29773694933384
NA	1434989_at	0.328112371552813	4.040237050564	3.66787601741409	0.00231814869342677	0.0097419702033396	-2.80789752565918
109082	1434991_at	-0.275421746336805	6.65190339666634	-3.34055328216269	0.00452317561823486	0.0174224736149979	-3.47620081197719
78334	1434997_at	-0.63692701779585	6.44764706714788	-4.39734858086476	0.000531327329340052	0.00265257846807236	-1.31519214427328
29875	1434998_at	-1.25141495468088	9.50680821341718	-13.1688675903029	1.35850633196539e-09	4.00457477633797e-08	12.09969697674
225888	1434999_at	-0.539319461351749	6.04122502875945	-5.77188305540657	3.83145634278788e-05	0.000261109870831182	1.39192978561939
18786	1435001_at	0.505726075965244	7.5937907933822	5.46457180844359	6.75633199551494e-05	0.000430756756191291	0.804708351006717
224020	1435003_at	0.375228411278796	8.30540438408805	3.87969013714202	0.00150626522047829	0.00665628725345792	-2.37353174446687
11306	1435006_s_at	0.574264268909895	8.32911950157431	5.70215724824878	4.35283323027046e-05	0.000292008227753128	1.25972990103888
104910	1435007_s_at	-0.467301183408585	4.77252536150042	-4.83064818861945	0.000226323470162694	0.00124953052121529	-0.441308773028044
236794	1435008_at	-1.05110184644587	6.57915274489677	-8.97298408405569	2.20414592120465e-07	3.01239955128033e-06	6.7731163355212
236794	1435009_at	-0.940515590804008	6.06042608096957	-8.46351557001129	4.59405748633249e-07	5.65801711335559e-06	6.00429368922533
58810	1435011_x_at	-0.361381027300629	11.1923519800918	-4.61589704362549	0.000344620652401121	0.00181319832523833	-0.87256064451963
67790	1435014_at	0.216701505585183	3.12982563660823	2.3813778290564	0.0310753108944597	0.0895144406112938	-5.35074111630608
67109	1435015_at	-0.491193753347951	5.10785735187492	-3.64523493037068	0.00242771918565675	0.010155125486209	-2.85428331241827
70827	1435016_at	-0.756494453844988	7.16573626786335	-7.42720029266632	2.25343972204718e-06	2.22283523589656e-05	4.34147207729106
217149	1435017_at	0.434700231760783	7.96922480169491	5.79786708143844	3.65417195302947e-05	0.000250504346030676	1.44103716032453
381356	1435018_at	-0.835966148200782	4.99481276102199	-7.43921628304998	2.21054696053162e-06	2.18444080777688e-05	4.36154449792755
217218	1435019_at	-0.300820950945316	9.0101482869181	-3.73062747084547	0.00203980275142841	0.00872442545141196	-2.67927105690334
69554	1435020_at	-1.01157334735274	4.94190859067212	-8.28362429969323	5.99740095361919e-07	7.07160210220076e-06	5.7253560055578
14402	1435021_at	0.548484728165142	3.67184241618463	6.90602696257597	5.28228889270801e-06	4.61788159236332e-05	3.45241060767135
20403	1435023_at	-1.3040063428253	6.06639324577519	-12.1461237367292	4.10043007133872e-09	1.01835625907185e-07	10.9450092823986
94214	1435026_at	0.535933556708697	6.31732539451657	4.77594392850823	0.000251787340218563	0.00137214364804222	-0.550777503716963
76899	1435027_at	-1.05632634535416	5.51461924224464	-12.2231917749015	3.76288752951594e-09	9.47042357526218e-08	11.0348563224948
65964	1435029_at	-0.909295758203605	6.34641494218934	-6.04181202841676	2.35279444784246e-05	0.000170737542062981	1.89781746033934
215210	1435031_at	-1.44009156795117	7.61325331292058	-11.7175296333775	6.66728253741257e-09	1.5396882218118e-07	10.4364378706767
224139	1435032_at	-0.431616559562704	7.68351536251056	-4.40672209711228	0.00052150200499277	0.00260901407955396	-1.29614050961975
226970	1435033_at	0.37120875346763	5.34746793238576	4.16674203965933	0.00084306839419792	0.00399613532808412	-1.78543119260181
18720	1435039_a_at	-0.503779969891012	7.81313961057256	-5.18412350629396	0.000114621831420865	0.00068616395260319	0.258895485896002
73914	1435040_at	1.13718201149801	6.23100429614185	12.7390142607669	2.14163713283452e-09	5.91125926119766e-08	11.6241151429521
17904	1435041_at	-0.293906254597961	5.74769854203736	-2.69835128357132	0.0166229742315451	0.0531485014048571	-4.75321206075377
626123	1435042_at	-0.245348843694387	3.78309272912638	-2.55587933790778	0.0220664264219395	0.0674541072289477	-5.02540054501415
18795	1435043_at	0.280103899990826	4.54112386514405	2.37094364901445	0.0317121223341616	0.0910223147118751	-5.36988014227167
228598	1435044_at	-0.503018395396398	3.71350033659172	-4.05996604499837	0.00104552291225378	0.00482988106786417	-2.00395246668869
215821	1435050_at	-0.368883467993501	3.62213143584025	-3.51514477803188	0.00316622110280297	0.0127933827233038	-3.12044814658694
74895	1435052_at	-0.686905236334945	5.2125136174069	-5.55457296067426	5.71469984061883e-05	0.0003711140064964	0.977896341444314
211945	1435053_s_at	-2.38764223572736	5.92322498368189	-23.2316407999234	4.34783641588079e-13	6.18586025844288e-11	20.4126171403942
80294	1435056_x_at	-0.610108001807883	7.29528044286766	-8.28856216866704	5.95337082220448e-07	7.02953398463688e-06	5.7330657649546
20912	1435058_x_at	-0.289540373669547	3.63653230305827	-3.16191888117038	0.00651241271276642	0.0239182675699087	-3.83748565727147
13196	1435059_at	-0.925167193608527	5.86773313682728	-5.59527580039902	5.29982419544327e-05	0.000346215774969129	1.05589472326732
50876	1435060_at	0.405077116961076	3.29359437916498	4.20863910962548	0.000774978890705186	0.00370689605999519	-1.69980345522626
22325	1435065_x_at	-0.310043329563383	3.33579717255127	-3.69318297526921	0.00220155962756666	0.00931624514570126	-2.75603418159971
71795	1435066_at	1.80250121073036	6.05099083654799	15.7294971679089	1.14647459938136e-10	5.13987583565592e-09	14.6760950600024
108083	1435068_at	0.576053151596417	7.23084919935959	7.00220938305334	4.50150982516901e-06	4.02503161429317e-05	3.61921768414784
